translit,pos,english,logograms,cuneiform,freq
eklu,N,dark one; dark place,,,2
ekṣiš,AV,insolently,,,2
Elamtaš,AV,to Elam,,,2
eliu,N,perfume,,,2
ella-mê,N,pure in divine powers; 'Pure Powers',,,2
ellarūtu,N,(meaning unknown),,,2
Ellillatu,N,(designation of supreme goddess),,,2
elûtu,N,(a garment),,,2
elēnû,N,upper one; superior person,,,2
elīu,N,upper part,NIM.MA,𒉏𒈠,2
emmu,N,hot one,,,2
emēṣu,V,be(come) hungry; be(coming) hungry,,,2
engurru,N,subterranean waters,ENGUR,,2
Enlil,DN,1,,,2
ennakku,N,(meaning unknown),,,2
enû,N,loincloth,,,2
enūma,XP,when,,,2
epipītu,N,pupil,,,2
eppešu,N,clever one,,,2
epru,N,earth; dust,SAHAR SAHAR-HI.A,,2
eprūtu,N,covering?,,,2
epû,AJ,baked,KI.LIB KILIB.BA,,2
erbēšerīšu,AV,fourteen times,,,2
erešu,N,the sign NIN,,,2
errerû,N,given to cursing,,,2
errēšūtu,N,cultivation,,,2
erî,N,copper; bronze,URUDU,,2
eršaḫungû,N,(an Emesal cultic prayer); (a lamentation to soothe the heart),,,2
esertu,N,confined woman; concubine,,,2
esigu,N,ebb,,,2
esru,N,confined one,,,2
etellu,AJ,pre-eminent,,,2
ezbu,AJ,abandoned; disregarded,,,2
ezēhu,V,gird on; girdle,,,2
ešartu,NU,group of ten,,,2
ešqu,N,solid one,,,2
ešrētu,N,chapel; one-tenth,,,2
ešēʾu,V,muzzle; muzzle?; muzzling?,,,2
eʾʾēlu,N,binder,,,2
eṣidītu,N,provisions,,,2
gaba,N,the sign GABA,,,2
gabarahhu,N,breast-beating; panic,GABA.RA.AH,,2
galam,N,the sign GALAM,,,2
gallabtu,N,female barber,,,2
galālu,N,stone(s),,,2
gamarru,N,infantry,,,2
gamliš,AV,like a bent (throwing-)stick,,,2
gamlu,AJ,spared,,,2
gammu,N,the sign GAM,,,2
gangiṭṭu,N,(a type of song); gangiṭṭy-hymn,,,2
garbānu,AJ,leprous; leper,,,2
garāšu,V,move towards; copulate,,,2
garṣu,AJ,broken off; pinched off,,,2
gazamānu,N,(a pole),,,2
gaširūtu,N,appurtenances,,,2
gašīšiš,AV,on stakes,,,2
gaṣṣatu,N,firewood,,,2
gerayabbakku,N,a fish,,,2
gergiddu,N,a fish,,,2
gergiššu,N,strawberry tree,,,2
gergīlu,N,(a bird),,,2
geriddakku,N,a fish,,,2
gešpu,N,the sign U,,,2
gešû,V,belch; belching,,,2
gibarrû,N,reed fibres,,,2
gibbu,N,(meaning uknown),,,2
gibillû,N,tinder,,,2
giddagiddû,N,(an eye complaint); protruding (eyes),,,2
gigurdû,N,(a carrying basket); basket,GI.GUR.DA,𒄀𒄥𒁕,2
gilgidānu,N,bat,,,2
giriṣtu,N,(a fruit),,,2
girtablilu,N,scorpion-man,,,2
girīṣu,N,(a kind of fruit),,,2
gizzutu,N,deduction?; yield of wool,,,2
giškurrû,N,(a mountain tree),,,2
gišlammu,N,mullein,,,2
gudapsû,N,(a priest),,,2
gudšuginakku,N,sacrificial bull,,,2
guggirinakku,N,sweet cake,,,2
gullubu,AJ,shorn; shaven (clerics); shaven,,,2
gullutu,N,column-base,,,2
gumgumšû,N,(an altar),,,2
gumānu,N,(part of a plant)?; (a medicinal plant),,,2
gurgūgu,N,roller,,,2
gurru,N,(a metal object),,,2
gurummaru,N,(a kind of tree),,,2
guzallu,N,ruffian,,,2
guḫḫu,N,cough(ing),,,2
gâʾu,V,spit; vomit,,,2
gāgu,N,ring; necklace,,,2
gūštu,N,whirling dance; hymn of Gušaya,,,2
habarattu,N,noise,,,2
habbaqūqu,N,(a garden herb),,,2
habbu,N,(a pit)?,,,2
habburu,N,(a kind of wine),,,2
hablu,AJ,wronged; wronged (person); indebted,,,2
haddânu,N,(malevolent) rejoicer,,,2
hadādu,V,rustle; roaring; incise deeply,,,2
hadālu,V,tie up; tying up,,,2
hahhinu,N,(a thorny plant),,,2
haliqtu,N,lost one; missing one,,,2
haliqtu,AJ,lost; loss,,,2
hallupu,AJ,armoured; covered donkey,,,2
halpiu,N,(a kind of cistern); bucket,,,2
haltappānu,N,(a plant),,,2
halwû,N,boundary wall,,,2
hamadīri,AJ,parched,,,2
hamadīru,AJ,parched; withered,,,2
hamiššeret,NU,fifteen,,,2
hammiššeret,NU,fifteen,,,2
hammūtu,N,function of family head,,,2
hamāru,V,become dry; becoming dry,,,2
hamāṭu,N,haste,,,2
hamṭūtu,AV,hastily; quickly,,,2
handašpiru,N,(a thorny plant),,,2
hannahuru,N,(a stone),,,2
hannāqu,N,strangler; kind of clasp of reed or wood,,,2
hanzabu,N,(potter's waste product),,,2
hanāṣu,V,lift lips; scowl; baring teeth,,,2
hapātu,V,triumph; prevail; prevailing,,,2
haramma,AV,later; thereafter,,,2
harhazinnu,N,(outer) ear,,,2
harpū,N,(early) autumn; early summer,,,2
harpūtu,N,earliness,,,2
harsapnu,N,larva,,,2
harāmu,V,separate; cutting off,,,2
harāṭu,V,feed on?; infest,,,2
harību,N,ruination?,,,2
haršu,N,bound one,,,2
harṣu,N,meaning unclear,,,2
harṭibi,N,(Egyptian) diviner,,,2
hatû,N,decorated one,,,2
hašhūrû,AJ,apple-coloured,,,2
hašiānu,N,thyme?,,,2
hašû,AJ,dark,,,2
haššu,N,(a sweet meat); type of soup?,,,2
haššāʾu,N,(a cripple),,,2
haššāʾum,N,(a cripple),,,2
haṣbattiš,AV,like a pottery bowl,,,2
haṣāru,N,(a place where dates were delivered),,,2
haṭāmu,V,stop up; block; muzzling,,,2
haṭīru,N,animal pen,,,2
haṭṭi rēʾi,N,(a plant),,,2
haṭṭāʾu,N,sinner; wrong doer,,,2
herru,N,(a kind of furrow),,,2
hesû,AJ,covered up; flogged; mistreated,,,2
hibšu,N,(a rough wool),,,2
hibṣu,N,swelling,,,2
hiddu,N,(a bead); (meaning uncertain),,,2
hinhinu,N,(a kind of spice); particulates; (a kind of spice?); (a kink of spice?),,,2
hinqu,N,constriction; narrows,,,2
hinziribu,AJ,(blue-green colour),,,2
hipindû,N,(stone)?; (a stone)?,,,2
hirûtu,N,(act of) excavation,,,2
hitbuṣu,AJ,very joyful,,,2
hitmuṭu,N,burning one,,,2
hišiltu,N,crushings; course flour,,,2
hiššāʾum,N,superb one; thoroughbred,,,2
hiṭṭu,N,lintel,,,2
huballu,N,pit,,,2
hubbušu,AJ,swollen up,,,2
huddudu,AJ,deeply incised; deep,,,2
hulbunu,N,type of wine?,,,2
hultuppu,N,evilly striking one; (a demon),,,2
huluqqāʾu,N,(commercial) loss,,,2
hulāl īni,N,(a stone),,,2
hulālu-pappardaliu,N,(a valuable stone),,,2
humbiṣūtu,N,swollen lump,,,2
hummumu,AJ,gathered,,,2
hummušu,N,snapped off one,,,2
hummuṭu,AJ,very hot; quick; swift,,,2
hunnuṭu,N,state of ripening,,,2
hunābu,N,thriving one,,,2
huprû,N,(meaning unknown),,,2
hupû,N,fragment,,,2
hurhurātu,N,(a red dye),,,2
hurruru,AJ,deeply incised,,,2
huruppu,N,(metal) dish,,,2
husāru,N,haematite?,,,2
hutanubbu,AJ,luxuriant,,,2
hutūlu,N,(an object); piled up clay,,,2
huzīru,N,pig,,,2
huṣṣutu,N,reed hut,,,2
huṭartu,N,stick; staff,,,2
huṭṭû,AJ,spoiled; ruined; destroyed,,,2
hābiṣu,N,pulverizing,,,2
hādilu,N,knotter; designation of spider,,,2
hāmu,N,raft,,,2
hānibu,AJ,luxuriant,,,2
hāwû,N,howler,,,2
hīp libbi,N,distress,,,2
hīp-libbi,N,distress; depression,,,2
hūl šarri,N,royal road,KASKAL-LUGAL,𒆜𒈗,2
hūlalam,N,(designation of horse); (a bird),,,2
iaʾû,N,the sign NI,,,2
ibrētu,N,radius and ulna,,,2
idītu,N,(a kind of mash),,,2
igitappû,N,blinkers (for equids),,,2
ihzu,AJ,mounted,,,2
ikkû,PP,your(s),,,2
iklu,N,victim,,,2
ilimmu,N,the sign ILIMMU,,,2
illaru,N,(a maltster's tool),,,2
illurtu,N,handcuffs,,,2
IM.GE₆,N,black paste,,,2
imeru,N,(meaning unclear),,,2
imhur-ešra,N,(a climbing plant),,,2
imikānu,N,(female animal that has given birth),,,2
immerū,N,sheep,,,2
immû,N,tablet; record,,,2
imriqqu,N,clay sealing,,,2
imû,N,tuft of black hair,,,2
ina herrētišu maqātu,V,get back home,,,2
ingallu,N,sickle,,,2
inimma,J,oh!,,,2
innabu,AJ,luxuriant,,,2
ipiš pî,N,utterance,,,2
irta nêʾu,V,put to flight,,,2
isihtu,N,allocation,,,2
isikku,N,hard one?,,,2
issi ahāʾiš,AV,together,,,2
issu mar,SBJ,ever since; since,,,2
itaddu,AJ,covered; set,,,2
itallu,AJ,shouted,,,2
ithuzu,AJ,well-versed,,,2
išdiḫu,N,profit(able business),,,2
iškur,N,testicle,,,2
iškuru,N,the sign AN.IM,,,2
ištu libbi,SBJ,since,,,2
ištu maṣi,SBJ,since; as if,,,2
ištēnû,AJ,single; the one,,,2
ištēnû,N,single one,,,2
ištēnšeret,NU,eleven,,,2
išānu,N,important one,,,2
išānû,N,important one,,,2
išānû,AJ,important,,,2
išātiš,AV,on fire,,,2
išūtu,N,(meaning unknown),,,2
iṣ-pišri,N,magic staff; 'wood of release',,,2
iṣṣūrtu,N,female bird,,,2
kabarru,AJ,very thick,,,2
kabbartu,N,(part of foot),,,2
kabūt Šeriš,N,(a stone),,,2
kabūt-Šēriš,N,ox-dung; 'ox dung',,,2
kakkaltu,N,(an irrigation device),,,2
kaksallû,N,(a kind of wooden peg),,,2
kal,N,the sign KAL,,,2
kalab urṣi,N,badger,UR.KI,𒌨𒆠,2
kaldu,AJ,achieved; conquered,,,2
kallutu,N,daughter-in-law,,,2
kalāṣu,V,contract o.s.; rolling up,,,2
kamru,N,piled up one,,,2
kamādu,V,beat cloth(?); weave,,,2
kamālu,V,(be)come angry,,,2
kamāṣu,N,rest period,,,2
kanakku,N,(meaning unknown),,,2
kanšūtu,N,submissiveness,,,2
kapkapu,N,powerful one,,,2
kapāṣu,V,bend back; bending back,,,2
karaphu,N,fallow land,,,2
karāṭu,V,be(come) merciful; meaning unknown; to be merciful,,,2
karūbu,N,reverently greeted one,,,2
karṣillu,N,"knife, scalpel",,,2
kassupu,AJ,broken,,,2
kasânītu,N,(a red stone),,,2
kasītu,AJ,(magical) constraint,,,2
kasūsu,N,(hunting) falcon,,,2
katmu,N,covered one,,,2
kawāru,N,ramp,,,2
kayyāntu,N,reliable statement,,,2
kašittu,N,success,,,2
kaʾādu,V,(meaning unknown),,,2
kāru,N,quay,,,2
kaṣru,N,firmly joined one; knotted one,,,2
kaṣâtu,N,early morning,,,2
kaṣṣidakku,N,miller,,,2
kepû,V,bend (back); make whirl around,,,2
kezru,N,with (special kind of) hair-do; person with curled hair,,,2
kibarru,N,boat of inflated skins?,,,2
kikittu,N,(meaning unknown),,,2
kikurrû,N,temple foundation; chapel,,,2
kimru,N,layer(ing); heap(ing),,,2
kipkippu,N,(a bird of prey),,,2
kirlammu,N,container,,,2
kisalluhhu,N,courtyard sweeper,,,2
kislahû,N,threshing floor,,,2
kizirtu,N,lock of hair; emblem,,,2
kiāšu,N,assistance,,,2
kiāšu,V,help,,,2
kišid eperi,N,(an illness),,,2
kiṣiptu,N,calculation; plan,,,2
kiṣrūtu,N,of the cohort,,,2
KU,N,herdsman,KU,𒆪,2
kubarinnu,N,(a vessel),,,2
kubbû,N,sewn one,,,2
kubbû,AJ,sewn; (meaning unknown),,,2
kudādu,N,very small one,,,2
kukkubānu,N,part of the animal stomach,,,2
kukūsu,N,part of body,,,2
kullānu,N,(a metal item),,,2
kuluppû,N,(a bird),,,2
kumirtu,N,(a priestess),,,2
kummusu,N,fearsome one?,,,2
kummusu,AJ,kneeling,,,2
kunibhu,N,(a garden plant)?; (a garden plant?),,,2
kunnu,N,fixed one,,,2
kunnūtu,N,care; fosterling; certainty,,,2
kuptu,N,(part of a throne),,,2
kupātu,N,corn(field)?; (type of plant),,,2
kurdinnu,N,(an evil-smelling plant),,,2
kurku,N,goose,,,2
kurmittu,N,butterfly?,,,2
kurrû,AJ,short; very short,,,2
kuruppu,N,(vegetable) basket,,,2
kuruštû,N,(fodder for fattening); animal-fattener,,,2
kurūbu,N,(a bird),,,2
kurṣipti eqli,N,nettle,GI.ZU.LUM.MA,𒄀𒍪𒈝𒈠,2
kurṣû,N,fetter,,,2
kutattumu,AJ,clothed; covered,,,2
kutlu,N,rail,,,2
kutlānu,N,(a bird),,,2
kutultu,N,(meaning unknown); constrictor,,,2
kuzbānu,N,(a bird),,,2
kušabku,N,(a thorny tree),,,2
kušru,N,(a plant),,,2
kuṣimtu,N,(a medicinal plant),,,2
kêsu,V,(meaning unknown),,,2
kî maṣi,QP,how many?,,,2
KÚR,N,(indicating a textual variant),,,2
kû,IP,your,,,2
kādû,N,meaning unknown,,,2
kāmidu,N,fabric-beater,,,2
kāmisu,N,one who kneels,,,2
kāru,AJ,rubbed,,,2
kāšišu,N,creditor,,,2
kāšunu,IP,you,,,2
kāṣirtu,N,female 'knotter'; woman who binds,,,2
labaṭu,N,(an illness); (a plant),,,2
labniš,AV,as (if using) throwsticks,,,2
lahmu,AJ,hairy,,,2
lalangu,N,(a leguminous vegetable),,,2
lallāru,N,white honey,,,2
lalāʾiš,AV,like kids,,,2
lamnu,AJ,bad; evil,,,2
lamutānu,N,slave; serf; slave(s); retainer(s),,,2
laʾiṭu,AJ,confined; encircled,,,2
lehēmu,V,consume,,,2
lekû,V,go; going,,,2
lemû,AJ,unwilling,,,2
libbi gišimmari,N,date-palm bud?; date-palm bud,,,2
libīt šarri,N,royal entourage,,,2
ligittu,N,crooked furrow,,,2
lillūtu,N,idiocy,,,2
limmu,NU,four,,,2
limītu,N,packaging; vicinity,,,2
lipit qāti,N,handiwork,,,2
lukšu,N,conifer needles?,,,2
lullakku,N,(a beer vat),,,2
lullu,N,the sign LUL,,,2
lumahhu,N,(a purification priest),,,2
luqqutu,AJ,gathering together hastily; plunder; gathered,,,2
luʾu,N,throat,,,2
luʾʾû,V,sully; defile,,,2
luṭṭu,AJ,split,,,2
lânīhu,N,one who does not become tired,,,2
lâsāmu,V,run,,,2
lêku,V,lick (up),,,2
lēmu,AJ,disobedient,,,2
lēʾîš,AV,powerfully,,,2
līp-līpi,N,descendant,,,2
madallu,N,(a precious stone),,,2
madbareš,AV,into the steppe,,,2
maddānu,N,(a bread basket),,,2
magīrtu,N,challenge,,,2
mahhuru,AJ,adverse,,,2
mahhūtu,N,female ecstatic; ecstasy,,,2
mahra,PRP,in front,,,2
mahṣu,N,beaten one,,,2
makkû,N,(a pole)?,,,2
makrû,AJ,red,,,2
malallê,N,(a type of freight boat),,,2
malmalu,N,(a type of beer),,,2
mangāgu,N,date-palm fibres,,,2
manānu,N,nerves?,,,2
manṭaru,N,fibre; bast,,,2
mardannu,N,porridge or pudding,,,2
mardatu,N,rug; curtain,,,2
marsu,N,mixed one,,,2
maslahu,N,(a libation tube),,,2
maslaqtu,N,(a cooking pot),,,2
massaku,N,tow-rope,,,2
massūtu,N,washing,,,2
matimeni,AV,ever,,,2
matāqu,V,be(come) sweet; be(coming) sweet,,,2
mazrūtu,N,basket (of a gardener etc.),,,2
mazzāz pāni,N,entourage,,,2
mazû,AJ,pressed; squeezed,,,2
mazāru,V,(treat wool); treating wool,,,2
mašattu,N,(a metal weapon?); lance,,,2
mašdu,N,edge,,,2
mašdû,N,(a stone),,,2
mašhaṭu,N,stairs,,,2
mašlu,N,half,,,2
mašmaššūtu,N,exorcism,,,2
mašqalillu,N,suspension?; (a vessel); suspension,,,2
mašītu,N,forgotten thing(s); twin sister,,,2
maššu,AJ,polished,,,2
maʾdūtum,N,numerousness,,,2
maʾʾû,N,(meaning uncertain),,,2
maṣi,SBJ,since; much; (but) since; already,,,2
maṣi,AV,(but) since,,,2
maṣiru,N,(meaning unknown),,,2
maṣrahtu,N,(an emblem),,,2
maṣrāhu,N,socle for (divine) symbols,,,2
maṣādu,N,(a melting pot),,,2
maṭrû,N,(handle)?,,,2
medû,V,be(come) visible; known,,,2
mekû,N,(a bitter plant),,,2
memēni,IP,somebody,,,2
mezu,N,type of wine?,,,2
mešiltu,N,whetstone,,,2
mešēqu,N,strickle,,,2
midlu,N,process of salting; salted meat,,,2
milhu,N,(a type of stone),,,2
millû,N,word,,,2
mimma šumšu,XP,everything,,,2
mimma šumšu,N,possessions,,,2
miqqu,N,hole,,,2
miriqtu,N,damaged part; crushed materials,,,2
mirānu,N,(a plant); (a medicinal plant),,,2
mitluku,AJ,circumspect,,,2
mitluku,N,advice,,,2
mitru,N,strong one,,,2
mizru,N,felt?,,,2
muballiṭṭu,N,cage; life?-boat,,,2
mubarrû,N,commentary; (a temple official),,,2
mudallihu,N,one who is troubled; that which is blurred,,,2
muddû,V,notify; (meaning uncertain),,,2
mudeššû,AJ,making flourish,,,2
mudidlû,N,individual line,,,2
mudulu,N,(a pole)?,,,2
mugdašru,N,powerful one,,,2
mugdašu,N,powerful one,,,2
muhattitu,AJ,louse-ridden; infesting,,,2
mukannû,N,one who looks after something,,,2
mukarrisu,N,(a metal vessel for liquids),,,2
mukazzibu,AJ,flattering; playing up to someone,,,2
mukillum,N,holder; support,,,2
mukinnūtu,N,testimony,,,2
mukkallu,N,(a priest or scholar),,,2
mukru,N,(a loincloth),,,2
mukīl kutalli,N,supporter,,,2
mulemmittu,N,evil-doer,,,2
mullu,N,the sign MUL,,,2
multaškinu,N,pole,,,2
mumaggiru,N,one who make someone submissive; one who makes someone submissive,,,2
munahhiš,N,one who grants prosperity,,,2
munakkimu,N,one who accumulates,,,2
munawwirtu,N,brightening one,,,2
mundultu,N,(a type of bed),,,2
munessû,N,one who takes away; one who deports,,,2
munnahzu,N,one who has spread; roaring,,,2
munnišu,AJ,weakening,,,2
munziqqu,N,raisin,,,2
mupaddû,N,(sheep) offering for the naming (of someone); promised gift,,,2
mupaqqidu,N,one who entrusts,,,2
muparrû,N,one who cuts through,,,2
muppaširu,AJ,calming,,,2
muppišu,N,one who does something; dealer?,,,2
muppišūtu,N,witchcraft; machination,,,2
muqabbû,N,who laments,,,2
muqattertu,N,censer,,,2
muqqelpītu,N,(vessel) going downstream,,,2
muraqqiu,N,maker of perfumes,,,2
murrihu,AJ,urgent,,,2
murruhu,N,one who is very spoiled,,,2
murtaṣnu,N,thunderous one,,,2
murtâmu,AJ,loving each other; lover,,,2
murudû,N,lattice; (golden) filigree,,,2
musakkiru,N,one who blocks up,,,2
museppû,AJ,supplicant; adoring,,,2
musukannu,N,Magan tree,,,2
musukkû,N,poor quality silver?,,,2
mutlellû,N,that rises; exalted one,,,2
muttabiltu,N,female servant; furniture,,,2
muttaggišu,N,bustling one,,,2
muttakkipu,AJ,goring; one who butts,,,2
muttalku,N,deliberate one,,,2
muttalūtu,N,superiority,,,2
muttaʾidu,N,one who is attentive,,,2
mutuššu,N,(a warrior),,,2
muwassû,N,inspector of slaves,,,2
muzzerrū,N,enemies,,,2
mušahbiru,N,one who causes disruption,,,2
mušahli,N,one who makes bright,,,2
mušahlû,N,illuminator,,,2
mušahmitu,N,one who burns,,,2
mušahsisu,N,one who makes someone remember,,,2
mušalbiratu,N,one who makes long,,,2
mušalbiru,N,one who makes long,,,2
mušallimānu,N,delivery man?; healer,,,2
mušamhiru,N,one who makes receive,,,2
mušappiktu,N,(a vessel for pouring); (vessel for pouring); (vessel for pouring) oil?,,,2
mušapših,N,one who causes to rest; one who pacifies,,,2
mušapširu,N,one who dispels,,,2
mušaqqû,N,that raises; who raises,,,2
mušatbû,N,one who raises up,,,2
mušbīʾu,N,one who makes move along,,,2
mušebru,N,one who makes see,,,2
mušehrû,N,one who causes something to be dug,,,2
mušhalṣītu,N,slippery place?,,,2
muškēnūtu,N,palace-dependence; poverty,,,2
mušlahhūtu,N,art of the snake charmer,,,2
mušlalahhu,N,snake charmer,,,2
mušnawru,AJ,causing to shine; illuminating; illuminator,,,2
mušpêlu,AJ,overturned,,,2
mušpēlu,N,one who overturns,,,2
muštabriqu,N,one who repeatedly causes lightning to strike,,,2
muštamrištu,N,one who is constantly ill,,,2
muštashiru,N,one who surrounds something on all sides,,,2
muštemkû,N,one who pacifies?,,,2
mušteṣbû,N,one who carries out according to plan,,,2
mušēdû,N,that informs; informer,,,2
mušētiqu,N,that lets pass,,,2
muššar īni,N,(a stone),,,2
muššarû,N,(royal) inscription,,,2
muššulu,N,made to resemble; mirror,,,2
muṣallû,N,liar,,,2
muṣû,N,(a garment),,,2
muṭappilu,N,slanderer,,,2
muṭebbû,N,one that submerges,,,2
mânu,V,supply (with food); provide,,,2
mâru,V,buy corn; purchase,,,2
mādidu,N,measuring official (for grain etc.); one who measures; measuring official,,,2
māhiṣu,AJ,barbed?,,,2
mākalu,N,meal,,,2
māliku,AJ,adviser; advisor; counselor,,,2
māqittu,N,missile,,,2
mār banê,N,free man; nobleman,,,2
mār harrāni,N,traveller,,,2
mār nagî,N,local,,,2
māširu,N,teaseler; teaseller of cloth,,,2
māʾu,V,be(come) willing; be(com)ing willing,,,2
māʾu,N,ruler; victorious one,,,2
māḫāzu,N,place of taking; shrine,,,2
mēdedu,N,thorn,,,2
mēkiru,N,irrigator,,,2
mēlelu,N,play; dancing,,,2
mēlulāyu,AJ,playful; playful one,,,2
mēlītu,N,step,,,2
mērītu,N,musical instrument from Mari,,,2
mīs-pî,N,mouth-washing; mouth-washing (ceremony),,,2
mīsu,M,washing,,,2
mīšu,N,oblivion,,,2
mūdânūtu,N,knowledge,,,2
mūraddu,N,descent,,,2
nabhatu,N,(a leather or reed carrying-case),,,2
nablaltu,N,mixing vat,,,2
nabriu,N,(an offering); (a copper vessel)?,,,2
naburriš,AV,like battlements,,,2
nadušu,N,scion; offspring; scion?,,,2
nadāqu,V,meaning unknown,,,2
nagāru,V,denounce,,,2
nahanṣû,N,(a type of wine),,,2
naharšušu,V,collapse; collapsing,,,2
nahnahatu,N,(nasal) septum?; (nasal) cartilage,,,2
nahālu,V,(pass through a) sieze; sifting,,,2
nahātu,V,be(come) small; diminishing,,,2
nahīṣu,N,(a profession); an activity concerning textiles,,,2
nakmû,N,roasting implement,,,2
nakpu,AJ,pushing; piercing,,,2
nakuppu,N,circumference,,,2
nakāru,N,enemy,,,2
nalbābu,N,rage,,,2
namdālu,N,millipede,,,2
namerim,N,curse,,,2
namkaru,N,irrigation canal,,,2
namû,N,(a copper object),,,2
namārītu,N,daybreak; dawn-watch,,,2
nanduqu,AJ,dressed in,,,2
nanhuzu,AJ,inflamed; burning,,,2
nannû,N,command,,,2
napalsahtu,N,low stool,,,2
napalsuḫu,V,fall to the ground; prostrate oneself,,,2
napaltu,N,answer,,,2
naplu,AJ,demolished; fallen,,,2
nappaṭu,N,"(a small oven, brazier); brazier",,,2
nappû,N,sieve,,,2
nappāḫu,N,smith,,,2
napû,AJ,sieved,SIM,,2
napṭaru,N,(type of) acquaintance; reed altar,,,2
naqû,AJ,poured,,,2
narṭapu,N,soaking vessel; beer mash,,,2
nashiptu,N,(a shovel),,,2
naspanu,N,(a leveling tool),,,2
nasqu,N,chosen one,,,2
nasīhu,N,displaced person,,,2
nasīkātu,N,faraway lands,,,2
nayyālu,AJ,reclining,,,2
nayyālu,N,(person dispossessed of land); (a tenant),,,2
nazuzzu,AJ,standing,GUB,,2
našmaṭu,N,plucked item?,,,2
naššû,N,carrier; (a lever)?,,,2
naʾdiš,AV,attentively,,,2
naʾduru,N,darkened one,,,2
nebû,V,shine; shining,,,2
nemsētu,N,wash-basin,,,2
nemēšu,V,(meaning uncertain),,,2
neštu,N,lioness,,,2
nigginu,N,the sign NIGIN,,,2
niggirgiddû,N,(a watering can)?,,,2
ninurtû,N,the sign AN.SAL.TUG₂.IB,,,2
niqqu,N,fig seed?; (a type of flour),,,2
nisaba,N,grain (goddess); grain,,,2
niāši,IP,to us; us,,,2
niāʾu,IP,our,,,2
nišru,N,(meaning unknown),,,2
nuazu,N,(a variety of dates),,,2
nubû,N,lament,,,2
nuhhušu,AJ,very thriving,,,2
nuhāru,N,(a flower)?,,,2
nukarribu,N,gardener,,,2
nukušû,N,a door fitting; door fitting,,,2
nungulû,N,(a copper object),,,2
nuppušu,AJ,very wide,,,2
nuppuṣu,N,crushed one,,,2
nuqāru,N,low-quality wool,,,2
nurbu,N,soft place,,,2
nurruṭu,AJ,quivering,,,2
nāliš,AV,like a deer,,,2
nāpassu,N,answer,,,2
nāqû,N,pourer,,,2
nāramu,N,blanket,,,2
nāṣiru,AJ,protecting,,,2
nēhiš,AV,calmly; quietly,,,2
nēsepu,N,shovel,,,2
nīd libbi,N,stillborn baby,,,2
nīš ili,N,oath,MU-DINGIR,,2
padattu,N,figure,,,2
pagūgu,N,(meaning unknown),,,2
pahhāru,N,potter,,,2
pahāhu,V,be(come) weakened; be(com)ing weakened,,,2
palku,N,divided one,,,2
pandunu,N,(a pastry or bread),,,2
pannugu,AJ,meaning unknown,,,2
panītu,N,earlier (time); front,,,2
pappaltu,N,porridge; (designation of discharged semen),,,2
papparḫû,N,(a herb); (a garden plant),,,2
papātu,V,break in small pieces?,,,2
paras ṣehru,N,one third (of a shekel),,,2
pardu,N,afraid one,,,2
pariangu,N,(a weapon),,,2
parraʾu,AJ,sprouting; sprouting one,,,2
